iter	RMSE
0	8.644058498
1	7.973465687
2	7.332497609
3	6.742802591
4	6.220723119
5	5.750656709
6	5.297544905
7	4.902941585
8	4.55555799
9	4.274673477
10	3.981675511
11	3.780914657
12	3.561617446
13	3.342249166
14	3.188062882
15	3.025587877
16	2.877147518
17	2.766686214
18	2.668698183
19	2.599042811
20	2.48987876
21	2.448709424
22	2.38671013
23	2.308601805
24	2.239343172
25	2.161920361
26	2.115504153
27	2.060646398
28	2.002025948
29	1.963353248
30	1.912050549
31	1.87613357
32	1.856474716
33	1.840493462
34	1.804789426
35	1.784821749
36	1.768112626
37	1.736405865
38	1.720815013
39	1.687824682
40	1.675493228
41	1.6524549
42	1.640577225
43	1.616401969
44	1.601434828
45	1.591111478
46	1.573654659
47	1.563310155
48	1.553422291
49	1.546686447
50	1.537229944
51	1.507048285
52	1.497612712
53	1.450357635
54	1.429009709
55	1.397777406
56	1.39437911
57	1.371529273
58	1.363866634
59	1.345901033
60	1.337342604
61	1.314272943
62	1.297521457
63	1.269733336
64	1.254333911
65	1.248513899
66	1.243675907
67	1.226424563
68	1.221477428
69	1.200551303
70	1.185261846
71	1.179050175
72	1.173559941
73	1.16899926
74	1.164194498
75	1.146993262
76	1.123331601
77	1.117394896
78	1.096884226
79	1.092294648
80	1.08371483
81	1.081030167
82	1.078512992
83	1.074850593
84	1.056843916
85	1.053414602
86	1.049860263
87	1.03404298
88	1.023182375
89	1.021230155
90	1.019618293
91	1.003009351
92	0.9941086346
93	0.9821192623
94	0.9794983584
95	0.9683193943
96	0.9481934016
97	0.9360513653
98	0.9189006908
99	0.9174135054
100	0.9008966515
101	0.8963899944
102	0.8824787574
103	0.8781151795
104	0.8766386056
105	0.873101612
106	0.871532965
107	0.8695687651
108	0.862919052
109	0.8596682642
110	0.8514245153
111	0.8503660599
112	0.8491038855
113	0.8361989181
114	0.8327946419
115	0.8301525946
116	0.8258019937
117	0.8211583836
118	0.8190417192
119	0.8085577087
120	0.7976192576
121	0.7898981505
122	0.7889300966
123	0.7877081249
124	0.7869488501
125	0.7859180494
126	0.7753656647
127	0.7675498824
128	0.7648914917
129	0.7580194457
130	0.7562393592
131	0.7471073607
132	0.739447459
133	0.7370930601
134	0.7313024712
135	0.7276374388
136	0.7207131081
137	0.7155948123
138	0.7141827079
139	0.7103706443
140	0.706919215
141	0.7058896703
142	0.7034432868
143	0.6993250437
144	0.6977901243
145	0.693510822
146	0.6917866424
147	0.6905106196
148	0.6893206682
149	0.6878207819
150	0.6871177152
151	0.6824118758
152	0.6797917691
153	0.6748395145
154	0.6736158666
155	0.6716985501
156	0.671082275
157	0.6654754665
158	0.66238094
159	0.6613607072
160	0.6592226655
161	0.6576414303
162	0.6563016112
163	0.6554632222
164	0.654890379
165	0.6540704428
166	0.6523984263
167	0.6497475903
168	0.6490947066
169	0.6442020737
170	0.6410224421
171	0.6397296318
172	0.6363549252
173	0.6358838123
174	0.6320452507
175	0.6291179416
176	0.6266407236
177	0.6245436196
178	0.6216820391
179	0.6206904419
180	0.6192946684
181	0.6171231059
182	0.616054883
183	0.6137699379
184	0.6130024284
185	0.6095020926
186	0.6083210536
187	0.6055957453
188	0.6014231203
189	0.5999881636
190	0.5993154481
191	0.5959803412
192	0.5954749534
193	0.594918957
194	0.5926768
195	0.5917251514
196	0.5873889253
197	0.5843704487
198	0.5838731757
199	0.5801498738
200	0.5778573708
201	0.5772513857
202	0.5762728998
203	0.5740198644
204	0.5724932362
205	0.5708880067
206	0.5674601401
207	0.5663360577
208	0.5653836717
209	0.5632302422
210	0.562742991
211	0.5618414961
212	0.560823906
213	0.5597280196
214	0.5578871222
215	0.5561289157
216	0.5540729484
217	0.5520946073
218	0.5516322068
219	0.5508779933
220	0.5504741528
221	0.5455014448
222	0.5445357518
223	0.5429520456
224	0.5425918612
225	0.5416593325
226	0.5403130409
227	0.539828418
228	0.5357599199
229	0.5323118459
230	0.5318378324
231	0.5315237865
232	0.5298956463
233	0.5295873416
234	0.5293493475
235	0.5291752642
236	0.5290218712
237	0.5263898637
238	0.5257168927
239	0.5239792869
240	0.5230337699
241	0.5206433957
242	0.5184751131
243	0.5176460958
244	0.514234339
245	0.5133483678
246	0.5091656888
247	0.5072037081
248	0.5063461846
249	0.5055514577
250	0.5048955247
251	0.5035334759
252	0.5029718302
253	0.5017875314
254	0.500804813
255	0.5000929987
256	0.4984465303
257	0.497161594
258	0.4965000694
259	0.4958090058
260	0.492839725
261	0.4920248372
262	0.4884200657
263	0.4865572558
264	0.4839159436
265	0.482682513
266	0.4795147174
267	0.4786889842
268	0.4763599733
269	0.4755395482
270	0.4753560127
271	0.4745710144
272	0.4740180779
273	0.472068937
274	0.4692584712
275	0.4691059856
276	0.4684756333
277	0.4679628755
278	0.4677440037
279	0.4670340282
280	0.4644814072
281	0.4636360273
282	0.4612750452
283	0.4600288995
284	0.4578657785
285	0.4573155492
286	0.4555135073
287	0.4533735561
288	0.4504732065
289	0.4498052225
290	0.4495235279
291	0.4487768678
292	0.4462637762
293	0.4454480301
294	0.445181984
295	0.4437513278
296	0.4429922611
297	0.4421614509
298	0.441048321
299	0.4404631042
300	0.4402192565
301	0.4393220416
302	0.4389586697
303	0.4382262448
304	0.4368055548
305	0.436192166
306	0.4349681824
307	0.4346275491
308	0.4337145024
309	0.4331498774
310	0.4328089495
311	0.432348163
312	0.4320026354
313	0.4310258227
314	0.4305689348
315	0.4304796832
316	0.4286102456
317	0.4284546304
318	0.4271646049
319	0.426371815
320	0.426097443
321	0.4257792978
322	0.4238347718
323	0.4233163823
324	0.421620909
325	0.4211522157
326	0.4199648585
327	0.4193354505
328	0.4182550062
329	0.4162494401
330	0.4145843222
331	0.4144934611
332	0.4143244385
333	0.413649223
334	0.4131341676
335	0.4127437166
336	0.4126212237
337	0.4120744785
338	0.4119676372
339	0.4113245089
340	0.4107154911
341	0.4105242079
342	0.4097329851
