iter	Passed	Remaining
0	0	195
1	0	162
2	0	143
3	1	143
4	1	131
5	1	129
6	1	127
7	2	127
8	2	124
9	2	120
10	2	119
11	2	119
12	3	118
13	3	117
14	3	117
15	3	117
16	4	117
17	4	119
18	4	120
19	5	120
20	5	121
21	5	120
22	5	120
23	6	120
24	6	120
25	6	119
26	6	119
27	7	118
28	7	118
29	7	118
30	7	117
31	8	117
32	8	117
33	8	116
34	8	116
35	9	116
36	9	115
37	9	115
38	9	115
39	9	114
40	10	115
41	10	115
42	10	116
43	11	116
44	11	116
45	11	116
46	12	115
47	12	115
48	12	114
49	12	114
50	12	114
51	13	113
52	13	113
53	13	113
54	13	112
55	14	112
56	14	112
57	14	111
58	14	111
59	15	111
60	15	110
61	15	110
62	15	109
63	16	109
64	16	109
65	16	109
66	16	109
67	17	108
68	17	108
69	17	108
70	17	107
71	18	107
72	18	107
73	18	106
74	18	106
75	19	106
76	19	106
77	19	105
78	19	105
79	20	105
80	20	104
81	20	104
82	20	104
83	20	103
84	21	103
85	21	103
86	21	102
87	21	102
88	22	102
89	22	102
90	22	102
91	23	102
92	23	102
93	23	101
94	23	101
95	24	101
96	24	100
97	24	100
98	24	100
99	25	100
100	25	99
101	25	99
102	25	99
103	26	99
104	26	98
105	26	98
106	26	98
107	26	97
108	27	97
109	27	97
110	27	97
111	27	96
112	28	96
113	28	96
114	28	95
115	28	95
116	29	96
117	29	96
118	30	96
119	30	96
120	30	95
121	30	95
122	31	95
123	31	94
124	31	94
125	31	94
126	32	94
127	32	93
128	32	93
129	32	93
130	32	92
131	33	92
132	33	92
133	33	92
134	34	92
135	34	91
136	34	91
137	34	91
138	35	91
139	35	91
140	35	91
141	36	90
142	36	90
143	36	90
144	36	89
145	36	89
146	37	89
147	37	89
148	37	88
149	37	88
150	38	88
151	38	87
152	38	87
153	38	87
154	39	87
155	39	86
156	39	86
157	39	86
158	40	85
159	40	85
160	40	85
161	40	85
162	41	84
163	41	84
164	41	84
165	41	84
166	42	84
167	42	84
168	42	83
169	43	83
170	43	83
171	43	82
172	43	82
173	43	82
174	44	82
175	44	81
176	44	81
177	44	81
178	45	81
179	45	80
180	45	80
181	45	80
182	46	79
183	46	79
184	46	79
185	46	79
186	47	79
187	47	78
188	48	79
189	48	78
190	48	78
191	49	78
192	49	78
193	49	78
194	49	77
195	50	77
196	50	77
197	50	76
198	50	76
199	50	76
200	51	76
201	51	75
202	51	75
203	51	75
204	52	75
205	52	74
206	52	74
207	52	74
208	53	74
209	53	73
210	53	73
211	54	73
212	54	73
213	54	73
214	54	72
215	55	72
216	55	72
217	55	72
218	55	71
219	56	71
220	56	71
221	56	70
222	56	70
223	57	70
224	57	70
225	57	69
226	57	69
227	58	69
228	58	69
229	58	68
230	58	68
231	59	68
232	59	68
233	59	67
234	60	67
235	60	67
236	60	67
237	60	66
238	61	66
239	61	66
240	61	66
241	61	65
242	62	65
243	62	65
244	62	65
245	62	64
246	63	64
247	63	64
248	63	64
249	63	63
250	64	63
251	64	63
252	64	63
253	64	62
254	65	62
255	65	62
256	65	62
257	66	61
258	66	61
259	66	61
260	66	61
261	67	60
262	67	60
263	67	60
264	67	60
265	68	59
266	68	59
267	68	59
268	68	59
269	68	58
270	69	58
271	69	58
272	69	57
273	69	57
274	70	57
275	70	57
276	70	56
277	70	56
278	71	56
279	71	56
280	71	55
281	72	55
282	72	55
283	72	55
284	72	54
285	73	54
286	73	54
287	73	54
288	73	53
289	74	53
290	74	53
291	74	53
292	74	52
293	74	52
294	75	52
295	75	51
296	75	51
297	75	51
298	76	51
299	76	51
300	76	50
301	77	50
302	77	50
303	77	49
304	77	49
305	78	49
306	78	49
307	78	49
308	78	48
309	79	48
310	79	48
311	79	47
312	79	47
313	80	47
314	80	47
315	80	46
316	80	46
317	81	46
318	81	46
319	81	45
320	81	45
321	82	45
322	82	45
323	82	44
324	82	44
325	83	44
326	83	44
327	83	43
328	83	43
329	84	43
330	84	43
331	84	42
332	84	42
333	85	42
334	85	42
335	85	41
336	85	41
337	86	41
338	86	40
339	86	40
340	86	40
341	87	40
342	87	39
343	87	39
344	87	39
345	87	39
346	88	38
347	88	38
348	88	38
349	88	38
350	89	37
351	89	37
352	89	37
353	89	37
354	90	36
